"BOB","CUST ID","NAME","AMOUNT","ORDER NUMBER","Type"
"10/27/2017","61","Terry Raymond","90.0","1085","Invoice"
"10/27/2017","32","Ruth Frederick","90.0","1086","Payment"
"10/27/2017","32","Ruth Frederick","90.0","1086","Invoice"
"10/27/2017","58","Teresa Guzman","90.0","1087","Payment"
"10/27/2017","58","Teresa Guzman","90.0","1087","Invoice"
"10/27/2017","26","Brittany Mcintyre","90.0","1088","Payment"
"10/27/2017","26","Brittany Mcintyre","90.0","1088","Invoice"
"10/28/2017","49","Teresa Forbes","90.0","1089","Payment"
"10/28/2017","49","Teresa Forbes","90.0","1089","Invoice"
"10/28/2017","57","Virginia Dalton","90.0","1090","Payment"
"10/28/2017","57","Virginia Dalton","90.0","1090","Invoice"
"10/28/2017","65","Gerald Sherman","90.0","1091","Payment"
"10/28/2017","65","Gerald Sherman","90.0","1091","Invoice"
"10/29/2017","16","Amy Cantu","90.0","1092","Payment"
"10/29/2017","16","Amy Cantu","90.0","1092","Invoice"
"10/29/2017","6","Linda Fleming","90.0","1093","Payment"
"10/29/2017","6","Linda Fleming","90.0","1093","Invoice"
"10/30/2017","52","Janet Patterson","90.0","1094","Payment"
"10/30/2017","52","Janet Patterson","90.0","1094","Invoice"
"10/30/2017","90","Janice Callahan","90.0","1095","Payment"
"10/30/2017","90","Janice Callahan","90.0","1095","Invoice"
"10/30/2017","49","Teresa Forbes","90.0","1096","Payment"
"10/30/2017","49","Teresa Forbes","90.0","1096","Invoice"
"10/30/2017","60","Tiffany Hutchinson","90.0","1097","Payment"
"10/30/2017","60","Tiffany Hutchinson","90.0","1097","Invoice"
"10/30/2017","99","Virginia Dougherty","90.0","1098","Payment"
"10/30/2017","99","Virginia Dougherty","90.0","1098","Invoice"
"10/31/2017","77","Judith Warren","90.0","1099","Payment"
"10/31/2017","77","Judith Warren","90.0","1099","Invoice"
"10/31/2017","27","Brittany Mathews","90.0","1100","Payment"
"10/31/2017","27","Brittany Mathews","90.0","1100","Invoice"
"10/31/2017","14","Barbara Hopkins","90.0","1101","Payment"
"10/31/2017","14","Barbara Hopkins","90.0","1101","Invoice"
"10/31/2017","10","Angela Taylor","90.0","1102","Payment"
"10/31/2017","10","Angela Taylor","90.0","1102","Invoice"
"11/02/2017","53","Tyler Farrell","90.0","1103","Payment"
"11/02/2017","53","Tyler Farrell","90.0","1103","Invoice"
"11/02/2017","52","Janet Patterson","90.0","1104","Payment"
"11/02/2017","52","Janet Patterson","90.0","1104","Invoice"
"11/03/2017","54","Roy Gamble","90.0","1105","Payment"
"11/03/2017","54","Roy Gamble","90.0","1105","Invoice"
"11/03/2017","10","Angela Taylor","90.0","1106","Payment"
"11/03/2017","10","Angela Taylor","90.0","1106","Invoice"
"11/03/2017","60","Tiffany Hutchinson","90.0","1107","Payment"
"11/03/2017","60","Tiffany Hutchinson","90.0","1107","Invoice"
"11/04/2017","79","Samantha Shepard","90.0","1108","Payment"
"11/04/2017","79","Samantha Shepard","90.0","1108","Invoice"
"11/04/2017","22","Terry Contreras","90.0","1109","Payment"
"11/04/2017","22","Terry Contreras","90.0","1109","Invoice"
"11/04/2017","14","Barbara Hopkins","90.0","1110","Payment"
"11/04/2017","14","Barbara Hopkins","90.0","1110","Invoice"
"11/06/2017","70","Rebecca Fisher","90.0","1111","Payment"
"11/06/2017","70","Rebecca Fisher","90.0","1111","Invoice"
"11/06/2017","83","Henry David","90.0","1112","Payment"
"11/06/2017","83","Henry David","90.0","1112","Invoice"
"11/06/2017","31","Megan Mclean","90.0","1113","Payment"
"11/06/2017","31","Megan Mclean","90.0","1113","Invoice"
"11/07/2017","78","Betty Durham","90.0","1114","Payment"
"11/07/2017","78","Betty Durham","90.0","1114","Invoice"
"11/07/2017","41","Sandra Patterson","90.0","1115","Payment"
"11/07/2017","41","Sandra Patterson","90.0","1115","Invoice"
"11/07/2017","90","Janice Callahan","90.0","1116","Payment"
"11/07/2017","90","Janice Callahan","90.0","1116","Invoice"
"11/08/2017","94","Joan Buckley","90.0","1117","Payment"
"11/08/2017","94","Joan Buckley","90.0","1117","Invoice"
"11/08/2017","14","Barbara Hopkins","90.0","1118","Payment"
"11/08/2017","14","Barbara Hopkins","90.0","1118","Invoice"
"11/08/2017","40","Randy Burns","90.0","1119","Payment"
"11/08/2017","40","Randy Burns","90.0","1119","Invoice"
"11/08/2017","24","Mary Shah","90.0","1120","Payment"
"11/08/2017","24","Mary Shah","90.0","1120","Invoice"
"11/08/2017","30","Theresa Keith","90.0","1121","Payment"
"11/08/2017","30","Theresa Keith","90.0","1121","Invoice"
"11/08/2017","98","Helen Collins","90.0","1122","Payment"
"11/08/2017","98","Helen Collins","90.0","1122","Invoice"
"11/08/2017","47","Samantha Griffin","90.0","1123","Payment"
"11/08/2017","47","Samantha Griffin","90.0","1123","Invoice"
"11/09/2017","60","Tiffany Hutchinson","90.0","1124","Payment"
"11/09/2017","60","Tiffany Hutchinson","90.0","1124","Invoice"
"11/09/2017","39","Justin Cox","90.0","1125","Payment"
"11/09/2017","39","Justin Cox","90.0","1125","Invoice"
"11/09/2017","86","Carolyn Higgins","90.0","1126","Payment"
"11/09/2017","86","Carolyn Higgins","90.0","1126","Invoice"
"11/09/2017","22","Terry Contreras","90.0","1127","Payment"
"11/09/2017","22","Terry Contreras","90.0","1127","Invoice"
"11/10/2017","14","Barbara Hopkins","90.0","1128","Payment"
"11/10/2017","14","Barbara Hopkins","90.0","1128","Invoice"
"11/12/2017","95","Janet Burns","90.0","1129","Payment"
"11/12/2017","95","Janet Burns","90.0","1129","Invoice"
"11/12/2017","35","Emma Pruitt","90.0","1130","Payment"
"11/12/2017","35","Emma Pruitt","90.0","1130","Invoice"
"11/13/2017","64","Danielle Kidd","90.0","1131","Payment"
"11/13/2017","64","Danielle Kidd","90.0","1131","Invoice"
"11/13/2017","3","Albert Cantu","90.0","1132","Payment"
"11/13/2017","3","Albert Cantu","90.0","1132","Invoice"
"11/14/2017","92","Henry Arellano","90.0","1133","Payment"
"11/14/2017","92","Henry Arellano","90.0","1133","Invoice"
"11/14/2017","85","Alexis Rich","90.0","1134","Payment"
"11/14/2017","85","Alexis Rich","90.0","1134","Invoice"
"11/14/2017","53","Tyler Farrell","90.0","1135","Payment"
"11/14/2017","53","Tyler Farrell","90.0","1135","Invoice"
"11/14/2017","71","Keith Ramos","90.0","1136","Payment"
"11/14/2017","71","Keith Ramos","90.0","1136","Invoice"
"11/14/2017","85","Alexis Rich","90.0","1137","Payment"
"11/14/2017","85","Alexis Rich","90.0","1137","Invoice"
"11/14/2017","32","Ruth Frederick","90.0","1138","Payment"
"11/14/2017","32","Ruth Frederick","90.0","1138","Invoice"
"11/15/2017","14","Barbara Hopkins","90.0","1139","Payment"
"11/15/2017","14","Barbara Hopkins","90.0","1139","Invoice"
"11/16/2017","68","Christine Whitehead","90.0","1140","Payment"
"11/16/2017","68","Christine Whitehead","90.0","1140","Invoice"
"11/16/2017","74","Larry Turner","90.0","1141","Payment"
"11/16/2017","74","Larry Turner","90.0","1141","Invoice"
"11/16/2017","26","Brittany Mcintyre","90.0","1142","Payment"
"11/16/2017","26","Brittany Mcintyre","90.0","1142","Invoice"
"11/16/2017","68","Christine Whitehead","90.0","1143","Payment"
"11/16/2017","68","Christine Whitehead","90.0","1143","Invoice"
"11/16/2017","38","Linda Espinoza","90.0","1144","Payment"
"11/16/2017","38","Linda Espinoza","90.0","1144","Invoice"
"11/16/2017","63","Scott Sullivan","90.0","1145","Payment"
"11/16/2017","63","Scott Sullivan","90.0","1145","Invoice"
"11/17/2017","42","Barbara Andersen","90.0","1146","Payment"
"11/17/2017","42","Barbara Andersen","90.0","1146","Invoice"
"11/17/2017","56","Randy Mcdowell","90.0","1147","Payment"
"11/17/2017","56","Randy Mcdowell","90.0","1147","Invoice"
"11/17/2017","84","Lauren Walters","90.0","1148","Payment"
"11/17/2017","84","Lauren Walters","90.0","1148","Invoice"
"11/18/2017","51","Deborah Barber","90.0","1149","Payment"
"11/18/2017","51","Deborah Barber","90.0","1149","Invoice"
"11/19/2017","76","Pamela Le","90.0","1150","Payment"
"11/19/2017","76","Pamela Le","90.0","1150","Invoice"
"11/19/2017","79","Samantha Shepard","90.0","1151","Payment"
"11/19/2017","79","Samantha Shepard","90.0","1151","Invoice"
"11/19/2017","9","Roger Mahoney","90.0","1152","Payment"
"11/19/2017","9","Roger Mahoney","90.0","1152","Invoice"
"11/20/2017","58","Teresa Guzman","90.0","1153","Payment"
"11/20/2017","58","Teresa Guzman","90.0","1153","Invoice"
"11/20/2017","49","Teresa Forbes","90.0","1154","Payment"
"11/20/2017","49","Teresa Forbes","90.0","1154","Invoice"
"11/20/2017","43","Harold Myers","90.0","1155","Payment"
"11/20/2017","43","Harold Myers","90.0","1155","Invoice"
"11/21/2017","77","Judith Warren","90.0","1156","Payment"
"11/21/2017","77","Judith Warren","90.0","1156","Invoice"
"11/21/2017","94","Joan Buckley","90.0","1157","Payment"
"11/21/2017","94","Joan Buckley","90.0","1157","Invoice"
"11/21/2017","56","Randy Mcdowell","90.0","1158","Payment"
"11/21/2017","56","Randy Mcdowell","90.0","1158","Invoice"
"11/21/2017","31","Megan Mclean","90.0","1159","Payment"
"11/21/2017","31","Megan Mclean","90.0","1159","Invoice"
"11/21/2017","26","Brittany Mcintyre","90.0","1160","Payment"
"11/21/2017","26","Brittany Mcintyre","90.0","1160","Invoice"
"11/21/2017","28","Nicholas Zimmerman","90.0","1161","Payment"
"11/21/2017","28","Nicholas Zimmerman","90.0","1161","Invoice"
"11/22/2017","36","Kayla Ward","90.0","1162","Payment"
"11/22/2017","36","Kayla Ward","90.0","1162","Invoice"
"11/23/2017","42","Barbara Andersen","90.0","1163","Payment"
"11/23/2017","42","Barbara Andersen","90.0","1163","Invoice"
"11/23/2017","77","Judith Warren","90.0","1164","Payment"
"11/23/2017","77","Judith Warren","90.0","1164","Invoice"
"11/23/2017","47","Samantha Griffin","90.0","1165","Payment"
"11/23/2017","47","Samantha Griffin","90.0","1165","Invoice"
"11/23/2017","99","Virginia Dougherty","90.0","1166","Payment"
"11/23/2017","99","Virginia Dougherty","90.0","1166","Invoice"
"11/24/2017","8","Jennifer Key","90.0","1167","Payment"
"11/24/2017","8","Jennifer Key","90.0","1167","Invoice"
"11/24/2017","25","Deborah Arnold","90.0","1168","Payment"
"11/24/2017","25","Deborah Arnold","90.0","1168","Invoice"
"11/24/2017","25","Deborah Arnold","90.0","1169","Payment"
"11/24/2017","25","Deborah Arnold","90.0","1169","Invoice"
"11/24/2017","48","Sandra Mccullough","90.0","1170","Payment"
"11/24/2017","48","Sandra Mccullough","90.0","1170","Invoice"
"11/26/2017","92","Henry Arellano","90.0","1171","Payment"
"11/26/2017","92","Henry Arellano","90.0","1171","Invoice"
"11/26/2017","49","Teresa Forbes","90.0","1172","Payment"
"11/26/2017","49","Teresa Forbes","90.0","1172","Invoice"
"11/27/2017","3","Albert Cantu","90.0","1173","Payment"
"11/27/2017","3","Albert Cantu","90.0","1173","Invoice"
"11/27/2017","25","Deborah Arnold","90.0","1174","Payment"
"11/27/2017","25","Deborah Arnold","90.0","1174","Invoice"
"11/28/2017","44","Samuel Zhang","90.0","1175","Payment"
"11/28/2017","44","Samuel Zhang","90.0","1175","Invoice"
"11/28/2017","43","Harold Myers","90.0","1176","Payment"
"11/28/2017","43","Harold Myers","90.0","1176","Invoice"
"11/28/2017","14","Barbara Hopkins","90.0","1177","Payment"
"11/28/2017","14","Barbara Hopkins","90.0","1177","Invoice"
"11/29/2017","95","Janet Burns","90.0","1178","Payment"
"11/29/2017","95","Janet Burns","90.0","1178","Invoice"
"11/29/2017","59","Kenneth Thornton","90.0","1179","Payment"
"11/29/2017","59","Kenneth Thornton","90.0","1179","Invoice"
"11/30/2017","38","Linda Espinoza","90.0","1180","Payment"
"11/30/2017","38","Linda Espinoza","90.0","1180","Invoice"
"11/30/2017","48","Sandra Mccullough","90.0","1181","Payment"
"11/30/2017","48","Sandra Mccullough","90.0","1181","Invoice"
"11/30/2017","86","Carolyn Higgins","90.0","1182","Payment"
"11/30/2017","86","Carolyn Higgins","90.0","1182","Invoice"
"12/01/2017","74","Larry Turner","90.0","1183","Payment"
"12/01/2017","74","Larry Turner","90.0","1183","Invoice"
"12/01/2017","63","Scott Sullivan","90.0","1184","Payment"
"12/01/2017","63","Scott Sullivan","90.0","1184","Invoice"
"12/01/2017","94","Joan Buckley","90.0","1185","Payment"
"12/01/2017","94","Joan Buckley","90.0","1185","Invoice"
"12/02/2017","68","Christine Whitehead","90.0","1186","Payment"
"12/02/2017","68","Christine Whitehead","90.0","1186","Invoice"
"12/02/2017","85","Alexis Rich","90.0","1187","Payment"
"12/02/2017","85","Alexis Rich","90.0","1187","Invoice"
"12/02/2017","39","Justin Cox","90.0","1188","Payment"
"12/02/2017","39","Justin Cox","90.0","1188","Invoice"
"12/03/2017","38","Linda Espinoza","90.0","1189","Payment"
"12/03/2017","38","Linda Espinoza","90.0","1189","Invoice"
"12/03/2017","89","Stephanie Hernandez","90.0","1190","Payment"
"12/03/2017","89","Stephanie Hernandez","90.0","1190","Invoice"
"12/04/2017","38","Linda Espinoza","90.0","1191","Payment"
"12/04/2017","38","Linda Espinoza","90.0","1191","Invoice"
"12/04/2017","57","Virginia Dalton","90.0","1192","Payment"
"12/04/2017","57","Virginia Dalton","90.0","1192","Invoice"
"12/04/2017","41","Sandra Patterson","90.0","1193","Payment"
"12/04/2017","41","Sandra Patterson","90.0","1193","Invoice"
"12/04/2017","37","Andrew Calderon","90.0","1194","Payment"
"12/04/2017","37","Andrew Calderon","90.0","1194","Invoice"
"12/05/2017","3","Albert Cantu","90.0","1195","Payment"
"12/05/2017","3","Albert Cantu","90.0","1195","Invoice"
"12/05/2017","28","Nicholas Zimmerman","90.0","1196","Payment"
"12/05/2017","28","Nicholas Zimmerman","90.0","1196","Invoice"
"12/05/2017","81","Nancy Randall","90.0","1197","Payment"
"12/05/2017","81","Nancy Randall","90.0","1197","Invoice"
"12/05/2017","31","Megan Mclean","90.0","1198","Payment"
"12/05/2017","31","Megan Mclean","90.0","1198","Invoice"
"12/06/2017","49","Teresa Forbes","90.0","1199","Payment"
"12/06/2017","49","Teresa Forbes","90.0","1199","Invoice"
"12/07/2017","67","Melissa Tapia","90.0","1200","Payment"
"12/07/2017","67","Melissa Tapia","90.0","1200","Invoice"
"12/07/2017","50","Scott Spears","90.0","1201","Payment"
"12/07/2017","50","Scott Spears","90.0","1201","Invoice"
"12/08/2017","97","Patrick Rowe","90.0","1202","Payment"
"12/08/2017","97","Patrick Rowe","90.0","1202","Invoice"
"12/08/2017","9","Roger Mahoney","90.0","1203","Payment"
"12/08/2017","9","Roger Mahoney","90.0","1203","Invoice"
"12/09/2017","35","Emma Pruitt","90.0","1204","Payment"
"12/09/2017","35","Emma Pruitt","90.0","1204","Invoice"
"12/09/2017","88","Gregory Franklin","90.0","1205","Payment"
"12/09/2017","88","Gregory Franklin","90.0","1205","Invoice"
"12/10/2017","48","Sandra Mccullough","90.0","1206","Payment"
"12/10/2017","48","Sandra Mccullough","90.0","1206","Invoice"
"12/10/2017","84","Lauren Walters","90.0","1207","Payment"
"12/10/2017","84","Lauren Walters","90.0","1207","Invoice"
"12/11/2017","90","Janice Callahan","90.0","1208","Payment"
"12/11/2017","90","Janice Callahan","90.0","1208","Invoice"
"12/12/2017","2","Douglas Buckley","90.0","1209","Payment"
"12/12/2017","2","Douglas Buckley","90.0","1209","Invoice"
"12/12/2017","31","Megan Mclean","90.0","1210","Payment"
"12/12/2017","31","Megan Mclean","90.0","1210","Invoice"
"12/12/2017","27","Brittany Mathews","90.0","1211","Payment"
"12/12/2017","27","Brittany Mathews","90.0","1211","Invoice"
"12/13/2017","7","Abigail Montgomery","90.0","1212","Payment"
"12/13/2017","7","Abigail Montgomery","90.0","1212","Invoice"
"12/13/2017","85","Alexis Rich","90.0","1213","Payment"
"12/13/2017","85","Alexis Rich","90.0","1213","Invoice"
"12/14/2017","30","Theresa Keith","90.0","1214","Payment"
"12/14/2017","30","Theresa Keith","90.0","1214","Invoice"
"12/14/2017","14","Barbara Hopkins","90.0","1215","Payment"
"12/14/2017","14","Barbara Hopkins","90.0","1215","Invoice"
"12/14/2017","19","Charles Davidson","90.0","1216","Payment"
"12/14/2017","19","Charles Davidson","90.0","1216","Invoice"
"12/14/2017","62","Vincent Stewart","90.0","1217","Payment"
"12/14/2017","62","Vincent Stewart","90.0","1217","Invoice"
"12/14/2017","26","Brittany Mcintyre","90.0","1218","Payment"
"12/14/2017","26","Brittany Mcintyre","90.0","1218","Invoice"
"12/14/2017","28","Nicholas Zimmerman","90.0","1219","Payment"
"12/14/2017","28","Nicholas Zimmerman","90.0","1219","Invoice"
"12/15/2017","78","Betty Durham","90.0","1220","Payment"
"12/15/2017","78","Betty Durham","90.0","1220","Invoice"
"12/15/2017","23","Laura Kerr","90.0","1221","Payment"
"12/15/2017","23","Laura Kerr","90.0","1221","Invoice"
"12/15/2017","93","Charles Lester","90.0","1222","Payment"
"12/15/2017","93","Charles Lester","90.0","1222","Invoice"
"12/15/2017","50","Scott Spears","90.0","1223","Payment"
